IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
18.236.112.40,2052,0,false,ORD,North America,Chicago,196,0.00
13.60.9.207,2052,0,false,ORD,North America,Chicago,195,0.00
18.157.73.162,8880,0,false,ORD,North America,Chicago,180,0.00
18.236.112.40,8080,0,false,ORD,North America,Chicago,188,0.00
3.68.115.129,8880,0,false,ORD,North America,Chicago,188,0.00
18.157.73.162,443,0,false,ORD,North America,Chicago,178,0.00
13.60.9.207,8443,0,false,ORD,North America,Chicago,199,0.00
54.218.97.86,8443,0,false,ORD,North America,Chicago,197,0.00
3.75.154.142,2095,0,false,ORD,North America,Chicago,185,0.00
3.75.154.142,2052,0,false,ORD,North America,Chicago,187,0.00
3.75.154.142,2083,0,false,ORD,North America,Chicago,178,0.00
13.48.5.70,2083,0,false,ORD,North America,Chicago,195,0.00
13.48.5.70,443,0,false,ORD,North America,Chicago,197,0.00
3.75.154.142,2087,0,false,ORD,North America,Chicago,178,0.00
3.75.154.142,8880,0,false,ORD,North America,Chicago,194,0.00
3.75.154.142,80,0,false,ORD,North America,Chicago,189,0.00
13.51.171.81,8080,0,false,ORD,North America,Chicago,199,0.00
3.75.154.142,2086,0,false,ORD,North America,Chicago,191,0.00
13.49.18.2,2095,0,false,ORD,North America,Chicago,195,0.00
13.51.171.81,2086,0,false,ORD,North America,Chicago,200,0.00
54.218.97.86,2083,0,false,ORD,North America,Chicago,196,0.00
54.218.97.86,2052,0,false,ORD,North America,Chicago,192,0.00
13.49.18.2,2053,0,false,ORD,North America,Chicago,197,0.00
13.51.171.81,2096,0,false,ORD,North America,Chicago,194,0.00
13.40.51.204,2083,0,false,ORD,North America,Chicago,165,0.00
3.68.115.129,2083,0,false,ORD,North America,Chicago,191,0.00
13.40.51.204,8880,0,false,ORD,North America,Chicago,166,0.00
13.40.51.204,80,0,false,ORD,North America,Chicago,165,0.00
54.218.97.86,2095,0,false,ORD,North America,Chicago,196,0.00
13.40.51.204,2052,0,false,ORD,North America,Chicago,166,0.00
13.40.51.204,2095,0,false,ORD,North America,Chicago,166,0.00
54.218.97.86,80,0,false,ORD,North America,Chicago,195,0.00
13.40.51.204,443,0,false,ORD,North America,Chicago,168,0.00
3.68.115.129,2082,0,false,ORD,North America,Chicago,189,0.00
51.20.70.247,8880,0,false,ORD,North America,Chicago,207,0.00
13.40.51.204,8443,0,false,ORD,North America,Chicago,168,0.00
13.40.51.204,8080,0,false,ORD,North America,Chicago,166,0.00
13.40.51.204,2087,0,false,ORD,North America,Chicago,169,0.00
13.40.51.204,2096,0,false,ORD,North America,Chicago,168,0.00
51.20.70.247,8443,0,false,ORD,North America,Chicago,208,0.00
13.40.51.204,2053,0,false,ORD,North America,Chicago,166,0.00
13.59.175.58,80,0,false,FRA,Europe,Frankfurt,273,0.00
51.20.70.247,443,0,false,ORD,North America,Chicago,195,0.00
51.20.70.247,2087,0,false,ORD,North America,Chicago,214,0.00
34.240.194.138,2086,0,false,ORD,North America,Chicago,177,0.00
52.53.226.204,2096,0,false,ORD,North America,Chicago,180,0.00
34.240.194.138,2096,0,false,ORD,North America,Chicago,175,0.00
34.240.194.138,8880,0,false,ORD,North America,Chicago,177,0.00
34.240.194.138,443,0,false,ORD,North America,Chicago,179,0.00
34.240.194.138,80,0,false,ORD,North America,Chicago,178,0.00
34.240.194.138,8443,0,false,ORD,North America,Chicago,178,0.00
52.53.226.204,2087,0,false,ORD,North America,Chicago,173,0.00
13.40.141.183,2096,0,false,ORD,North America,Chicago,166,0.00
34.240.194.138,2087,0,false,ORD,North America,Chicago,175,0.00
52.53.226.204,2052,0,false,ORD,North America,Chicago,179,0.00
52.53.226.204,80,0,false,ORD,North America,Chicago,179,0.00
13.40.141.183,443,0,false,ORD,North America,Chicago,179,0.00
52.53.226.204,8880,0,false,ORD,North America,Chicago,177,0.00
13.51.47.101,443,0,false,ORD,North America,Chicago,197,0.00
52.53.226.204,443,0,false,ORD,North America,Chicago,178,0.00
52.53.226.204,2082,0,false,ORD,North America,Chicago,179,0.00
34.240.194.138,2095,0,false,ORD,North America,Chicago,178,0.00
34.240.194.138,2083,0,false,ORD,North America,Chicago,176,0.00
13.40.141.183,8080,0,false,ORD,North America,Chicago,168,0.00
52.53.226.204,8080,0,false,ORD,North America,Chicago,175,0.00
18.191.81.253,443,0,false,ORD,North America,Chicago,232,0.00
13.58.43.16,2082,0,false,ORD,North America,Chicago,227,0.00
34.240.194.138,2052,0,false,ORD,North America,Chicago,178,0.00
34.240.194.138,2082,0,false,ORD,North America,Chicago,175,0.00
