IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
43.198.53.11,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,16509,AMAZON-02,218,48.49
16.162.56.233,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,16509,AMAZON-02,223,36.64
43.198.231.169,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,16509,AMAZON-02,213,30.88
18.181.245.123,443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,238,30.02
18.183.247.194,8443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,236,29.51
52.199.83.67,3482,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,258,29.34
54.238.114.82,443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,284,28.90
43.206.146.73,8443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,247,27.64
52.199.83.67,36686,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,303,27.20
52.199.83.67,19110,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,263,27.11
43.202.44.172,8443,TRUE,ICN,KR,Asia Pacific,Seoul,16509,AMAZON-02,280,25.18
16.163.18.210,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,16509,AMAZON-02,224,24.16
18.162.177.90,8443,TRUE,HKG,HK,Asia Pacific,Hong Kong,16509,AMAZON-02,236,23.19
18.181.252.44,9002,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,274,22.39
52.193.4.149,443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,241,20.59
15.165.38.107,8443,TRUE,ICN,KR,Asia Pacific,Seoul,16509,AMAZON-02,267,20.41
54.169.200.216,443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,389,19.98
3.34.43.204,34237,TRUE,ICN,KR,Asia Pacific,Seoul,16509,AMAZON-02,237,17.39
43.207.86.44,443,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,235,17.30
18.142.48.170,8443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,334,13.92
43.202.44.172,2053,TRUE,ICN,KR,Asia Pacific,Seoul,16509,AMAZON-02,297,13.55
54.95.25.207,10018,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,239,13.34
13.250.99.226,8443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,325,13.23
3.1.218.154,8443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,325,13.20
18.183.137.85,2083,TRUE,NRT,JP,Asia Pacific,Tokyo,16509,AMAZON-02,299,13.15
47.128.253.66,8443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,332,12.25
16.162.37.123,443,TRUE,HKG,HK,Asia Pacific,Hong Kong,16509,AMAZON-02,216,12.07
18.141.204.88,443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,306,11.87
18.136.194.234,8443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,391,11.87
